product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
tumeric-powder,trs,1kg,trs_vibrant,trs-trs-trs-tumeric-powder-1kg,,true
tumeric-powder,trs,5kg,trs_vibrant,trs-trs-trs-tumeric-powder-5kg,,true
urid-beans,trs,500g,trs_vibrant,trs-trs-trs-urid-beans-500g,,true
urid-beans,trs,1kg,trs_vibrant,trs-trs-trs-urid-beans-1kg,,true
urid-beans,trs,2kg,trs_vibrant,trs-trs-trs-urid-beans-2kg,,true
urid-beans,trs,5kg,trs_vibrant,trs-trs-trs-urid-beans-5kg,,true
urid-beans,trs,25kg,trs_vibrant,trs-trs-trs-urid-beans-25kg,,true
urid-dal,trs,500g,trs_vibrant,trs-trs-trs-urid-dal-500g,,true
urid-dal,trs,1kg,trs_vibrant,trs-trs-trs-urid-dal-1kg,,true
urid-dal,trs,2kg,trs_vibrant,trs-trs-trs-urid-dal-2kg,,true
urid-dal,trs,5kg,trs_vibrant,trs-trs-trs-urid-dal-5kg,,true
urid-dal-chilka,trs,500g,trs_vibrant,trs-trs-trs-urid-dal-chilka-500g,,true
urid-dal-chilka,trs,1kg,trs_vibrant,trs-trs-trs-urid-dal-chilka-1kg,,true
urid-dal-chilka,trs,2kg,trs_vibrant,trs-trs-trs-urid-dal-chilka-2kg,,true
urid-whole-gota,trs,500g,trs_vibrant,trs-trs-trs-urid-whole-gota-500g,,true
urid-whole-gota,trs,1kg,trs_vibrant,trs-trs-trs-urid-whole-gota-1kg,,true
urid-whole-gota,trs,2kg,trs_vibrant,trs-trs-trs-urid-whole-gota-2kg,,true
urid-whole-gota,trs,5kg,trs_vibrant,trs-trs-trs-urid-whole-gota-5kg,,true
white-maize-meal,trs,1-5kg,trs_vibrant,trs-trs-trs-white-maize-meal-15kg,,true
white-maize-meal,trs,500g,trs_vibrant,trs-trs-trs-white-maize-meal-500g,,true
white-maize-meal,trs,5kg,trs_vibrant,trs-trs-trs-white-maize-meal-5kg,,true
whole-cinnamon-dalchini,trs,1-5kg,trs_vibrant,trs-trs-trs-whole-cinnamon-dalchini-15kg,,true
whole-cinnamon-dalchini,trs,200g,trs_vibrant,trs-trs-trs-whole-cinnamon-dalchini-200g,,true
whole-cinnamon-dalchini,trs,400g,trs_vibrant,trs-trs-trs-whole-cinnamon-dalchini-400g,,true
whole-cinnamon-dalchini,trs,50g,trs_vibrant,trs-trs-trs-whole-cinnamon-dalchini-50g,,true
yellow-peas,trs,500g,trs_vibrant,trs-trs-trs-yellow-peas-500g,,true
yellow-peas,trs,2kg,trs_vibrant,trs-trs-trs-yellow-peas-2kg,,true
yellow-split-peas,trs,2kg,trs_vibrant,trs-trs-trs-yellow-split-peas-2kg,,true
yellow-split-peas,trs,500g,trs_vibrant,trs-trs-trs-yellow-split-peas-500g,,true
chilli-powder-hot,trs,200g,trs_vibrant,trs-trs-chilli-hot-200g,,true
coconut-milk,trs,400ml,trs_vibrant,trs-trs-coconut-milk-400ml,,true
dark-red-kidney-beans,trs,1kg,trs_vibrant,trs-trs-rajma-dark-1kg,,true
garlic-paste,trs,300g,trs_vibrant,trs-trs-garlic-paste-300g,,true
ginger-garlic-paste,trs,1kg,trs_vibrant,trs-trs-gg-paste-1kg,,true
ginger-garlic-paste,trs,300g,trs_vibrant,trs-trs-gg-paste-300g,,true
ginger-paste,trs,300g,trs_vibrant,trs-trs-ginger-paste-300g,,true
kala-chana,trs,1kg,trs_vibrant,trs-trs-kala-chana-1kg,,true
kashmiri-chilli-powder,trs,200g,trs_vibrant,trs-trs-kashmiri-chilli-200g,,true
kewra-water,trs,190ml,trs_vibrant,trs-trs-kewra-water-190ml,,true
mixed-panchratna-dal,trs,1kg,trs_vibrant,trs-trs-panchratna-dal-1kg,,true
moong-whole-green,trs,1kg,trs_vibrant,trs-trs-moong-whole-green-1kg,,true
mukhwas-mouth-freshener,trs,200g,trs_vibrant,trs-trs-mukhwas-200g,,true
mustard-oil,trs,1l,trs_vibrant,trs-trs-mustard-oil-1l,,true
pure-ghee,trs,500g,trs_vibrant,trs-trs-ghee-500g,,true
pure-ghee,trs,1kg,trs_vibrant,trs-trs-ghee-1kg,,true
red-split-lentils,trs,2kg,trs_vibrant,trs-trs-red-split-lentils-2kg,,true
red-split-lentils,trs,500g,trs_vibrant,trs-trs-red-split-lentils-500g,,true
roasted-chana-daria,trs,500g,trs_vibrant,trs-trs-chana-daria-500g,,true
roasted-cumin-powder,trs,100g,trs_vibrant,trs-trs-cumin-roasted-100g,,true
roasted-peanuts,trs,500g,trs_vibrant,trs-trs-peanuts-roasted-500g,,true
rose-water,trs,190ml,trs_vibrant,trs-trs-rose-water-190ml,,true
tamarind-block,trs,400g,trs_vibrant,trs-trs-tamarind-block-400g,,true
toor-dal-dry,trs,1kg,trs_vibrant,trs-trs-toor-dal-dry-1kg,,true
toor-dal-oily,trs,1kg,trs_vibrant,trs-trs-toor-dal-oily-1kg,,true
toor-dal-oily,trs,2kg,trs_vibrant,trs-trs-toor-dal-oily-2kg,,true
urad-dal-black-whole,trs,1kg,trs_vibrant,trs-trs-urad-black-whole-1kg,,true
filter-coffee,udhayam,200g,multiple_suppliers,udhayam-udhayam-coffee-200g,,true
filter-coffee,udhayam,500g,multiple_suppliers,udhayam-udhayam-coffee-500g,,true
masala-chai,wagh-bakri,250g,multiple_suppliers,wagh-bakri-wagh-bakri-masala-chai-250g,,true
premium-tea,wagh-bakri,500g,multiple_suppliers,wagh-bakri-wagh-bakri-tea-500g,,true
premium-tea,wagh-bakri,1kg,multiple_suppliers,wagh-bakri-wagh-bakri-tea-1kg,,true
indian-onion,fresh_veg,1kg,multiple_suppliers,veg-indian-onion-1kg,,true
mud-potato,fresh_veg,2kg,multiple_suppliers,veg-mud-potato-2kg,,true
ginger,fresh_veg,250g,multiple_suppliers,veg-ginger-250g,,true
garlic,fresh_veg,250g,multiple_suppliers,veg-garlic-250g,,true
okra-bhindi,fresh_veg,500g,multiple_suppliers,veg-okra-500g,,true
green-chillies,fresh_veg,200g,multiple_suppliers,veg-green-chillies-200g,,true
bottle-gourd-dudhi,fresh_veg,1piece,multiple_suppliers,veg-dudhi-single,,true
bitter-gourd-karela,fresh_veg,500g,multiple_suppliers,veg-karela-500g,,true
drumsticks,fresh_veg,250g,multiple_suppliers,veg-drumsticks-250g,,true
tindora,fresh_veg,500g,multiple_suppliers,veg-tindora-500g,,true
curry-leaves-fresh-veg,fresh_veg,50g,multiple_suppliers,veg-curry-leaves-50g,,true
vine-tomato,fresh_veg,500g,multiple_suppliers,veg-tomato-500g,,true
green-lime,fresh_veg,4pack,multiple_suppliers,veg-lime-4pk,,true
coconut,fresh_veg,1piece,multiple_suppliers,veg-coconut-single,,true
green-plantains,fresh_veg,1piece,multiple_suppliers,veg-plantain-single,,true
cassava-mogo,fresh_veg,1kg,multiple_suppliers,veg-cassava-1kg,,true
arbi-taro-root,fresh_veg,500g,multiple_suppliers,veg-arbi-500g,,true
