product_handle,brand_handle,variant_handle,vendor_handle,vendor_sku,cost_price_gbp,is_primary
red-food-colouring-liquid,natco,28ml,natco_foods,natco-natco-red-food-colouring-liquid-28ml,,true
orange-food-colouring-liquid,natco,28ml,natco_foods,natco-natco-orange-food-colouring-liquid-28ml,,true
green-food-colouring-powder,natco,25g,natco_foods,natco-natco-green-food-colouring-powder-25g,,true
red-food-colouring-powder,natco,25g,natco_foods,natco-natco-red-food-colouring-powder-25g,,true
orange-food-colouring-powder,natco,25g,natco_foods,natco-natco-orange-food-colouring-powder-25g,,true
yellow-food-colouring-powder,natco,25g,natco_foods,natco-natco-yellow-food-colouring-powder-25g,,true
tandoori-masala-jar,natco,100g,natco_foods,natco-natco-tandoori-masala-jar-100g,,true
garam-masala-jar,natco,80g,natco_foods,natco-natco-garam-masala-jar-80g,,true
coriander-ground-jar,natco,70g,natco_foods,natco-natco-coriander-ground-jar-70g,,true
cloves-jar,natco,50g,natco_foods,natco-natco-cloves-jar-50g,,true
cinnamon-ground-jar,natco,100g,natco_foods,natco-natco-cinnamon-ground-jar-100g,,true
cassia-dalchini-jar,natco,50g,natco_foods,natco-natco-cassia-dalchini-jar-50g,,true
chilli-powder-hot-jar,natco,100g,natco_foods,natco-natco-chilli-powder-hot-jar-100g,,true
chilli-crushed-jar,natco,80g,natco_foods,natco-natco-chilli-crushed-jar-80g,,true
cardamom-green-jar,natco,50g,natco_foods,natco-natco-cardamom-green-jar-50g,,true
bay-leaves-jar,natco,10g,natco_foods,natco-natco-bay-leaves-jar-10g,,true
asafoetida-hing-jar,natco,100g,natco_foods,natco-natco-asafoetida-hing-jar-100g,,true
aniseed-star-jar,natco,40g,natco_foods,natco-natco-aniseed-star-jar-40g,,true
amchoor-powder-jar,natco,100g,natco_foods,natco-natco-amchoor-powder-jar-100g,,true
ajwan-seeds-jar,natco,100g,natco_foods,natco-natco-ajwan-seeds-jar-100g,,true
tandoori-masala,natco,400g,natco_foods,natco-natco-tandoori-masala-400g,,true
mixed-masala-whole,natco,300g,natco_foods,natco-natco-mixed-masala-whole-300g,,true
kasuri-methi-leaves,natco,100g,natco_foods,natco-natco-kasuri-methi-leaves-100g,,true
garam-masala,natco,400g,natco_foods,natco-natco-garam-masala-400g,,true
vermice-t-apos-dini-fedelini,natco,500g,natco_foods,natco-natco-vermice-taposdini-fedelini-500g,,true
black-chia-seeds,natco,250g,natco_foods,natco-natco-black-chia-seeds-250g,,true
peanut-gachak-peanut-brittle,natco,400g,natco_foods,natco-natco-peanut-gachak-peanut-brittle-400g,,true
sugar-candy,natco,375g,natco_foods,natco-natco-sugar-candy-375g,,true
soya-mince,natco,300g,natco_foods,natco-natco-soya-mince-300g,,true
soya-chunks,natco,700g,natco_foods,natco-natco-soya-chunks-700g,,true
soya-chunks,natco,350g,natco_foods,natco-natco-soya-chunks-350g,,true
sesame-seeds-hulled,natco,1-5kg,natco_foods,natco-natco-sesame-seeds-hulled-15kg,,true
sesame-seeds-natural,natco,400g,natco_foods,natco-natco-sesame-seeds-natural-400g,,true
sagoo-seeds-medium,natco,1-5kg,natco_foods,natco-natco-sagoo-seeds-medium-15kg,,true
sunflower-seeds,natco,1kg,natco_foods,natco-natco-sunflower-seeds-1kg,,true
sunflower-seeds,natco,300g,natco_foods,natco-natco-sunflower-seeds-300g,,true
powa-medium-flaked-rice,natco,1kg,natco_foods,natco-natco-powa-medium-flaked-rice-1kg,,true
white-poppy-seeds,natco,300g,natco_foods,natco-natco-white-poppy-seeds-300g,,true
white-poppy-seeds,natco,100g,natco_foods,natco-natco-white-poppy-seeds-100g,,true
linseed-brown,natco,1kg,natco_foods,natco-natco-linseed-brown-1kg,,true
linseed-brown,natco,400g,natco_foods,natco-natco-linseed-brown-400g,,true
pumpkin-seeds,natco,250g,natco_foods,natco-natco-pumpkin-seeds-250g,,true
popcorn,natco,2kg,natco_foods,natco-natco-popcorn-2kg,,true
popcorn,natco,500g,natco_foods,natco-natco-popcorn-500g,,true
crispy-fried-onions,natco,150g,natco_foods,natco-natco-crispy-fried-onions-150g,,true
crispy-fried-onions,natco,400g,natco_foods,natco-natco-crispy-fried-onions-400g,,true
jaggery,natco,500g,natco_foods,natco-natco-jaggery-500g,,true
daria-dal,natco,300g,natco_foods,natco-natco-daria-dal-300g,,true
phool-makhana-popped-lotus-seeds,natco,100g,natco_foods,natco-natco-phool-makhana-popped-lotus-seeds-100g,,true
daria-gotta-large,natco,700g,natco_foods,natco-natco-daria-gotta-large-700g,,true
daria-gotta-small,natco,300g,natco_foods,natco-natco-daria-gotta-small-300g,,true
