product_handle,brand_handle,shelf_weight_kg,status
black-eyed-beans,natco,,published
pure-sesame-oil,natco,,published
groundnut-oil,natco,,published
pure-linseed-oil,natco,,published
castor-oil,natco,,published
almond-oil,natco,,published
rosemary-jar,natco,,published
demerara-sugar,natco,,published
whole-birdseye-chilli-jar,natco,,published
coriander-seeds-jar,natco,,published
ajwan-seeds,natco,,published
amchoor-powder,natco,,published
black-pepper-coarse,natco,,published
black-pepper-ground,natco,,published
black-pepper-ground-jar,natco,,published
black-pepper-whole,natco,,published
black-pepper-whole-jar,natco,,published
brown-chick-peas,natco,,published
cardamom-green-ground,natco,,published
cardamom-green,natco,,published
cardamom-seeds,natco,,published
cassia-dalchini,natco,,published
chilli-powder,natco,,published
chilli-powder-extra-hot,natco,,published
chilli-powder-kashmiri,natco,,published
chilli-whole-birdseye,natco,,published
chilli-whole-stemless,natco,,published
chinese-5-spice,natco,,published
cinnamon-sticks,natco,,published
cloves,natco,,published
cloves-ground,natco,,published
coriander-ground,natco,,published
coriander-seeds,natco,,published
chilli-crushed,natco,,published
cumin-ground-jar,natco,,published
cumin-ground,natco,,published
cumin-seeds,natco,,published
cumin-seeds-black,natco,,published
cumin-seeds-jar,natco,,published
curry-powder,natco,,published
curry-powder-hot,natco,,published
curry-powder-medium-jar,natco,,published
curry-leaves,natco,,published
fennel-seeds,natco,,published
fennel-seeds-jar,natco,,published
garlic-flakes,natco,,published
garlic-powder,natco,,published
garlic-powder-jar,natco,,published
ginger-powder,natco,,published
ground-ginger-jar,natco,,published
kala-namak,natco,,published
mace-ground,natco,,published
methi-leaves-jar,natco,,published
methi-seeds-fenugreek,natco,,published
methi-seeds-jar,natco,,published
moth-beans,natco,,published
mustard-seeds,natco,,published
mustard-seeds-black-jar,natco,,published
kalwanji-nigella-seeds,natco,,published
kalwanji-nigella-seeds-jar,natco,,published
nutmeg-ground,natco,,published
nutmeg-ground-jar,natco,,published
nutmeg-whole-jar,natco,,published
panchpuran-5-whole-spice,natco,,published
paprika-powder,natco,,published
paprika-powder-jar,natco,,published
saffron,natco,,published
takmuria-basil-seeds,natco,,published
tamarind-paste-jar,natco,,published
tamarind-slab,natco,,published
tamarind-wet,natco,,published
toor-dal-oily,natco,,published
toor-dal-plain,natco,,published
turmeric-powder,natco,,published
turmeric-powder-jar,natco,,published
urid-dal-white,natco,,published
urid-beans,natco,,published
urid-split,natco,,published
white-pepper-ground,natco,,published
white-pepper-ground-jar,natco,,published
yellow-mustard-seeds,natco,,published
yellow-split-peas,natco,,published
mango-pickle,national-foods,,published
mixed-pickle,national-foods,,published
classic,nescafe,,published
coconut-oil,parachute,,published
bourbon,parle,,published
g-glucose-biscuits,parle,,published
mango-bite,parle,,published
melody,parle,,published
monaco-salted-crackers,parle,,published
lime-pickle,pataks,,published
mango-chutney,pataks,,published
mixed-pickle,pataks,,published
tikka-masala-paste,pataks,,published
chakki-fresh-atta,pillsbury,,published
avakaya-mango-pickle,priya,,published
garlic-pickle,priya,,published
gongura-mutton-pickle,priya,,published
gongura-pickle,priya,,published
lemon-pickle,priya,,published
tomato-pickle,priya,,published
mango-concentrate,rasna,,published
achar-gosht-masala,shan,,published
bombay-biryani-mix,shan,,published
haleem-mix,shan,,published
pilau-rice-mix,shan,,published
sindhi-biryani-mix,shan,,published
special-beef-biryani-mix,shan,,published
special-chicken-biryani-mix,shan,,published
special-mutton-biryani-mix,shan,,published
tea,tata-gold,,published
pure-basmati,tilda,,published
coarse-black-pepper,trs,,published
coarse-cornmeal,trs,,published
coarse-semolina,trs,,published
coriander-powder-dhania,trs,,published
coriander-seeds-whole-dhania,trs,,published
crushed-chilli,trs,,published
cumin-powder,trs,,published
cumin-seeds,trs,,published
fennel-seeds,trs,,published
fenugreek-leaves,trs,,published
fenugreek-seeds,trs,,published
fine-desiccated-coconut,trs,,published
fine-semolina,trs,,published
garam-masala,trs,,published
garlic-powder,trs,,published
ginger-paste,trs,,published
ginger-powder,trs,,published
green-cardamom,trs,,published
green-lentils,trs,,published
ground-rice,trs,,published
hot-madras-curry,trs,,published
mild-madras-curry-powder,trs,,published
moth-beans,trs,,published
mung-beans,trs,,published
mung-dal,trs,,published
mung-dal-chilka-split-green-peas,trs,,published
paprika-powder,trs,,published
popcorn,trs,,published
puffed-lotus-seeds-makhana,trs,,published
pure-gram-flour,trs,,published
red-adzuki-beans-red-cow-peas,trs,,published
red-kidney-beans,trs,,published
red-split-lentils,trs,,published
rosecoco-beans,trs,,published
sarson-ka-saag-spiced-mustard-greens-curry,trs,,published
tapioca-pearls,trs,,published
toor-dal,trs,,published
tumeric-powder,trs,,published
urid-beans,trs,,published
urid-dal,trs,,published
urid-dal-chilka,trs,,published
urid-whole-gota,trs,,published
white-maize-meal,trs,,published
whole-cinnamon-dalchini,trs,,published
yellow-peas,trs,,published
yellow-split-peas,trs,,published
chilli-powder-hot,trs,,published
coconut-milk,trs,,published
dark-red-kidney-beans,trs,,published
garlic-paste,trs,,published
ginger-garlic-paste,trs,,published
kala-chana,trs,,published
kashmiri-chilli-powder,trs,,published
kewra-water,trs,,published
mixed-panchratna-dal,trs,,published
moong-whole-green,trs,,published
mukhwas-mouth-freshener,trs,,published
mustard-oil,trs,,published
pure-ghee,trs,,published
roasted-chana-daria,trs,,published
roasted-cumin-powder,trs,,published
roasted-peanuts,trs,,published
rose-water,trs,,published
tamarind-block,trs,,published
toor-dal-dry,trs,,published
toor-dal-oily,trs,,published
urad-dal-black-whole,trs,,published
filter-coffee,udhayam,,published
masala-chai,wagh-bakri,,published
premium-tea,wagh-bakri,,published
indian-onion,fresh_veg,,published
mud-potato,fresh_veg,,published
ginger,fresh_veg,,published
garlic,fresh_veg,,published
okra-bhindi,fresh_veg,,published
green-chillies,fresh_veg,,published
bottle-gourd-dudhi,fresh_veg,,published
bitter-gourd-karela,fresh_veg,,published
drumsticks,fresh_veg,,published
tindora,fresh_veg,,published
curry-leaves-fresh-veg,fresh_veg,,published
vine-tomato,fresh_veg,,published
green-lime,fresh_veg,,published
coconut,fresh_veg,,published
green-plantains,fresh_veg,,published
cassava-mogo,fresh_veg,,published
arbi-taro-root,fresh_veg,,published
