product_handle,brand_handle,variant_handle,barcode,backup_barcodes,images,thumbnail,is_active
semolina-coarse,natco,1-5kg,GEN_4567668719688_1.5kg,GEN_4567668719688_1.5kg;ALT_4567668719688_1.5kg,natco_semolina-coarse-15kg.jpg,natco_semolina-coarse-15kg.jpg,true
semolina-coarse,natco,500g,GEN_4567668719688_500g,GEN_4567668719688_500g;ALT_4567668719688_500g,natco_semolina-coarse-15kg.jpg,natco_semolina-coarse-15kg.jpg,true
semolina-fine,natco,1-5kg,GEN_4567668817992_1.5kg,GEN_4567668817992_1.5kg;ALT_4567668817992_1.5kg,natco_semolina-fine-15kg.jpg,natco_semolina-fine-15kg.jpg,true
semolina-fine,natco,500g,GEN_4567668817992_500g,GEN_4567668817992_500g;ALT_4567668817992_500g,natco_semolina-fine-15kg.jpg,natco_semolina-fine-15kg.jpg,true
rice-flour,natco,500g,4567668850760,4567668850760,natco_rice-flour-500g.jpg,natco_rice-flour-500g.jpg,true
ground-rice,natco,1-5kg,GEN_4567668981832_1.5kg,GEN_4567668981832_1.5kg;ALT_4567668981832_1.5kg,natco_ground-rice-15kg.jpg,natco_ground-rice-15kg.jpg,true
ground-rice,natco,500g,GEN_4567668981832_500g,GEN_4567668981832_500g;ALT_4567668981832_500g,natco_ground-rice-15kg.jpg,natco_ground-rice-15kg.jpg,true
gram-flour-papa-brand,natco,2kg,4567669047368,4567669047368,natco_gram-flour-papa-brand-2kg.jpg,natco_gram-flour-papa-brand-2kg.jpg,true
gram-flour-superfine,natco,2kg,GEN_4567669309512_2kg,GEN_4567669309512_2kg;ALT_4567669309512_2kg,natco_gram-flour-superfine-2kg.jpg,natco_gram-flour-superfine-2kg.jpg,true
gram-flour-superfine,natco,1kg,GEN_4567669309512_1kg,GEN_4567669309512_1kg;ALT_4567669309512_1kg,natco_gram-flour-superfine-2kg.jpg,natco_gram-flour-superfine-2kg.jpg,true
gram-flour-superfine,natco,500g,GEN_4567669309512_500g,GEN_4567669309512_500g;ALT_4567669309512_500g,natco_gram-flour-superfine-2kg.jpg,natco_gram-flour-superfine-2kg.jpg,true
white-maize-meal,natco,1-5kg,4567669342280,4567669342280,natco_white-maize-meal-15kg.jpg,natco_white-maize-meal-15kg.jpg,true
cornmeal-medium,natco,1-5kg,GEN_4567669506120_1.5kg,GEN_4567669506120_1.5kg;ALT_4567669506120_1.5kg,natco_cornmeal-medium-15kg.jpg,natco_cornmeal-medium-15kg.jpg,true
cornmeal-medium,natco,500g,GEN_4567669506120_500g,GEN_4567669506120_500g;ALT_4567669506120_500g,natco_cornmeal-medium-15kg.jpg,natco_cornmeal-medium-15kg.jpg,true
cornmeal-fine,natco,1-5kg,GEN_4567669604424_1.5kg,GEN_4567669604424_1.5kg;ALT_4567669604424_1.5kg,natco_cornmeal-fine-15kg.jpg,natco_cornmeal-fine-15kg.jpg,true
cornmeal-fine,natco,500g,GEN_4567669604424_500g,GEN_4567669604424_500g;ALT_4567669604424_500g,natco_cornmeal-fine-15kg.jpg,natco_cornmeal-fine-15kg.jpg,true
chakki-atta-multigrain,natco,5kg,4567669735496,4567669735496,natco_chakki-atta-multigrain-5kg.jpg,natco_chakki-atta-multigrain-5kg.jpg,true
chapati-flour-medium,natco,1-5kg,4567669833800,4567669833800,natco_chapati-flour-medium-15kg.jpg,natco_chapati-flour-medium-15kg.jpg,true
chapati-flour-white,natco,1-5kg,4567669866568,4567669866568,natco_chapati-flour-white-15kg.jpg,natco_chapati-flour-white-15kg.jpg,true
golden-raisins,natco,1kg,GEN_4567669932104_1kg,GEN_4567669932104_1kg;ALT_4567669932104_1kg,natco_golden-raisins-1kg.jpg,natco_golden-raisins-1kg.jpg,true
golden-raisins,natco,100g,GEN_4567669932104_100g,GEN_4567669932104_100g;ALT_4567669932104_100g,natco_golden-raisins-1kg.jpg,natco_golden-raisins-1kg.jpg,true
toovar,natco,400g,4567670030408,4567670030408,natco_toovar-400g.jpg,natco_toovar-400g.jpg,true
suran-yam,natco,400g,4567670095944,4567670095944,natco_suran-yam-400g.jpg,natco_suran-yam-400g.jpg,true
punjabi-tinda-full-case-12x400g,natco,400g,4567670161480,4567670161480,natco_punjabi-tinda-full-case-12x400g.jpg,natco_punjabi-tinda-full-case-12x400g.jpg,true
okra-full-case-12x400g,natco,400g,4567670423624,4567670423624,natco_okra-full-case-12x400g.png,natco_okra-full-case-12x400g.png,true
lotus-root,natco,400g,4567670521928,4567670521928,natco_lotus-root-400g.jpg,natco_lotus-root-400g.jpg,true
karela,natco,400g,4567670620232,4567670620232,natco_karela-400g.jpg,natco_karela-400g.jpg,true
sarson-ka-saag,natco,450g,4567670816840,4567670816840,natco_sarson-ka-saag-450g.jpg,natco_sarson-ka-saag-450g.jpg,true
patra,natco,400g,4567670915144,4567670915144,natco_patra-400g.jpg,natco_patra-400g.jpg,true
tomatoes-chopped-full-case-12x400g,natco,400g,4567670980680,4567670980680,natco_tomatoes-chopped-full-case-12x400g.jpg,natco_tomatoes-chopped-full-case-12x400g.jpg,true
tomatoes-peeled,natco,400g,4567671144520,4567671144520,natco_tomatoes-peeled-400g.jpg,natco_tomatoes-peeled-400g.jpg,true
tomato-paste,natco,800g,4567671210056,4567671210056,natco_tomato-paste-800g.jpg,natco_tomato-paste-800g.jpg,true
spinach-leaf,natco,396g,4567671406664,4567671406664,natco_spinach-leaf-396g.jpg,natco_spinach-leaf-396g.jpg,true
rose-coco-borlotti-beans,natco,2kg,GEN_4567671504968_2kg,GEN_4567671504968_2kg;ALT_4567671504968_2kg,natco_rose-coco-borlotti-beans-400g.jpg,natco_rose-coco-borlotti-beans-400g.jpg,true
rose-coco-borlotti-beans,natco,500g,GEN_4567671504968_500g,GEN_4567671504968_500g;ALT_4567671504968_500g,natco_rose-coco-borlotti-beans-400g.jpg,natco_rose-coco-borlotti-beans-400g.jpg,true
rose-coco-borlotti-beans,natco,400g,GEN_4567671504968_400g,GEN_4567671504968_400g;ALT_4567671504968_400g,natco_rose-coco-borlotti-beans-400g.jpg,natco_rose-coco-borlotti-beans-400g.jpg,true
coconut-oil-parachute-brand,natco,500ml,4567671832648,4567671832648,natco_coconut-oil-parachute-brand-500ml.jpg,natco_coconut-oil-parachute-brand-500ml.jpg,true
olive-oil-extra-virgin,natco,500ml,4567671865416,4567671865416,natco_olive-oil-extra-virgin-500ml.jpg,natco_olive-oil-extra-virgin-500ml.jpg,true
