natco_handle,title,variant_weight,natco_type,natco_subcategory,our_subcategory,in_our_catalog,our_product_id,match_status
chanadal1,Chanadal Polished 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chanadal-case,Chanadal Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chickpea-case,Chick Peas Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chickpeas,Chick Peas 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chickpeas1,Chick Peas 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
chickpeas-tinned,Chick Peas 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
chickpeas-tinned-case,Chick Peas Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
chickpeas-tinned-large,Chick Peas 2.5kg,2.5kg,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
dariadal,Daria Dal 300g,300g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
daria-gotta-large,Daria Gotta (Large) 700g,700g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
daria-gotta-small,Daria Gotta (Small) 300g,300g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
gram-roasted-salted,Gram Roasted Salted 300g,300g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
gram-roasted-unsalted,Gram Roasted Unsalted 300g,300g,Daria Lentil Snack,namkeen-lentil-snacks,namkeen-lentil-snacks,UNKNOWN,,NEEDS_REVIEW
green-lentils,Green Lentils 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
green-lentils1,Green Lentils 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
green-lentils-case,Green Lentils Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
kala-chana-boiled,Kala Chana Boiled 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
kala-chana-case,Kala Chana Boiled Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
moth-beans,Moth Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
moth-beans1,Moth Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-beans,Mung Beans 1kg,1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-beans1,Mung Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-beans-case,Mung Beans Full Case 4x1kg,4x1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-dal-yellow,Mung Dal Yellow 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-dal-yellow-2kg,Mung Dal Yellow 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mung-dal-yellow-case,Mung Dal Yellow Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mungsplit,Mung Split 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
mungsplit1,Mung Split 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-kidney-beans,Red Kidney Beans 1kg,1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-kidney-beans2kg,Red Kidney Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-kidney-beans-case,Red Kidney Beans Full Case 4x1kg,4x1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-kidney-fulltin,Red Kidney Beans Boiled Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
red-kidney-tinned,Red Kidney Beans 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
red-kidney-tinned-large,Red Kidney Beans 2.5kg,2.5kg,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
red-lentils-case,Red Lentils Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-lentils-polished,Red Lentils Polished 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
red-lentils-polished1,Red Lentils Polished 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
rosecoco-beans,Rose Coco (Borlotti) Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
rose-coco-beans,Rose Coco (Borlotti) Beans 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
rosecoco-beans1,Rose Coco (Borlotti) Beans 500g,500g,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
rose-coco-beans-case,Rose Coco (Borlotti) Beans Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
soyabeans,Soya Beans 2kg,2kg,Beans,soya-products,soya-products,UNKNOWN,,NEEDS_REVIEW
soyabeans1,Soya Beans 500g,500g,Beans,soya-products,soya-products,UNKNOWN,,NEEDS_REVIEW
soyachunks,Soya Chunks 700g,700g,Soya,soya-products,soya-products,UNKNOWN,,NEEDS_REVIEW
soyachunks1,Soya Chunks 350g,350g,Soya,soya-products,soya-products,UNKNOWN,,NEEDS_REVIEW
soyamince,Soya Mince 300g,300g,Soya,soya-products,soya-products,UNKNOWN,,NEEDS_REVIEW
toor-dal-oily,Toor Dal Oily 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
toor-dal-oily1,Toor Dal Oily 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
toor-dal-oily-case,Toor Dal Oily Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
toor-dal-plain,Toor Dal Plain 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
toor-dal-plain1,Toor Dal Plain 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
toovar,Toovar 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
toovar-full-case,Toovar Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
uridbeans,Urid Beans 2kg,2kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
uridbeans1,Urid Beans 1kg,1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
urid-beans-case,Urid Beans Full Case 4x1kg,4x1kg,Beans,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
urid-dal-white,Urid Dal White 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
urid-dal-white1,Urid Dal White 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
uridsplit,Urid Split 500g,500g,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
uridsplit1,Urid Split 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
urid-white-case,Urid Dal White Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
white-kidney-fulltin,White Kidney Beans Boiled Full Case 12x400g,12x400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
white-kidney-tinned,White Kidney Beans 400g,400g,"Tinned Lentils, Beans",tinned-lentils-beans,tinned-lentils-beans,UNKNOWN,,NEEDS_REVIEW
yellow-split-peas,Yellow Split Peas 1kg,1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
yellow-split-peas1,Yellow Split Peas 2kg,2kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
yellow-split-peas-case,Yellow Split Peas Full Case 4x1kg,4x1kg,Lentils,dried-lentils-beans-peas,dried-lentils-beans-peas,UNKNOWN,,NEEDS_REVIEW
