"natco_handle","title","variant_weight","natco_type","natco_subcategory","tags","in_catalog","match_status"
"curry-powder-hot1","Curry Powder Hot 100g","100","Spices","spices-herbs","diwali2022","no","in_shopify_only"
"curry-powder-medium-jar","Curry Powder Medium Jar 100g","100","Spice & Herb Jars","spice-herb-jars","masala;mild curry powder;mosola","no","in_shopify_only"
"dried-tarragon","Dried Tarragon 25g","25","Herbs","spices-herbs","Christmas;taragon;Xmas Cooking","no","in_shopify_only"
"fennel-seeds","Fennel Seeds 400g","400","Spices","spices-herbs","2021BEST;mukhwas;Saunf","no","in_shopify_only"
"fennel-seeds-jar","Fennel Seeds Jar 100g","100","Spice & Herb Jars","spice-herb-jars","mukhwas;Saunf","no","in_shopify_only"
"garammasala","Garam Masala 400g","400","Spice Blends and Mixes","spice-blends-mixes","gorom","no","in_shopify_only"
"garam-masala-jar","Garam Masala Jar 80g","80","Spice Jars","spice-herb-jars","gorom;spice blends","no","in_shopify_only"
"garlic-flakes","Garlic Flakes 100g","100","Spices","spices-herbs","garlick;garlik","no","in_shopify_only"
"garlic-powder","Garlic Powder 100g","100","Spices","spices-herbs","garlick;garlik","no","in_shopify_only"
"garlic-powder-jar","Garlic Powder Jar 100g","100","Spice & Herb Jars","spice-herb-jars","garlick;garlik","no","in_shopify_only"
"ginger-powder","Ginger Powder 100g","100","Spices","spices-herbs","Cheesecake Recipe;Christmas;Saunth;Xmas Cooking","no","in_shopify_only"
"green-colouring-liquid","Green Food Colouring - Liquid 28ml","28","Food Colouring","food-colourings-essences","Colouring;Dye","no","in_shopify_only"
"green-food-colouring","Green Food Colouring - Powder 25g","25","Food Colouring","food-colourings-essences","Colouring;Dye","no","in_shopify_only"
"ground-ginger-jar","Ground Ginger Jar 70g","70","Spice & Herb Jars","spice-herb-jars","Christmas;Saunth;Xmas Cooking","no","in_shopify_only"
"kalanamak","Kala Namak 300g","300","Spices","spices-herbs","bit lobon;Black Salt;kala noon;or pada loon;Sulemani namak","no","in_shopify_only"
"kalanamak1","Kala Namak 100g","100","Spices","spices-herbs","bit lobon;Black Salt;kala noon;or pada loon;Sulemani namak","no","in_shopify_only"
"kasuri-methi-leaves","Kasuri Methi Leaves 100g","100","Spices","spices-herbs","2021BEST;2024BEST;fenugreek;kasoori Methi;kasuri methi;summer","no","in_shopify_only"
"kevdawater","Kevda Water 310ml","310","Flavouring","food-colourings-essences","kevra;kewda;kewra","no","in_shopify_only"
"lemon-juice-1-ltr","Lemon Juice 1 Ltr","1060","Flavouring","food-colourings-essences","","no","in_shopify_only"
"lemon-juice-500ml","Lemon Juice 500ml","551","Flavouring","food-colourings-essences","","no","in_shopify_only"
"lemon-juice-with-essential-oil-200ml","Lemon Juice with Essential Oil 200ml","219","Flavouring","food-colourings-essences","neem;neemboo","no","in_shopify_only"
"mace-ground","Mace Ground 50g","50","Spices","spices-herbs","Christmas;Javitri;Xmas Cooking","no","in_shopify_only"
"marjoram-jar","Marjoram Jar 20g","25","Herbs","spices-herbs","Christmas;marjarom;marjorom;Xmas Cooking","no","in_shopify_only"
"meat-masala-mangal","Meat Masala Mangal 100g","100","Spice Blends and Mixes","spice-blends-mixes","mdh;mosola","no","in_shopify_only"
"methi-leaves-jar","Methi Leaves Jar 10g","10","Spice & Herb Jars","spice-herb-jars","Kasoori Methi;kasuri methi","no","in_shopify_only"
"methi-seeds","Methi Seeds Fenugreek 400g","400","Spices","spices-herbs","Kasoori Methi;kasuri methi","no","in_shopify_only"
"methi-seeds-jar","Methi Seeds Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Kasoori Methi;kasuri methi","no","in_shopify_only"
"mint-jars","Mint Jar 30g","30","Herbs","spices-herbs","Christmas;Xmas Cooking","no","in_shopify_only"
"mixed-herbs-jar","Mixed Herbs Jar 25g","25","Herbs","spices-herbs","basil;Christmas;mint;oregano;rosemary;sage;tarragon;thyme;Xmas Cooking","no","in_shopify_only"
"mixed-masala-whole","Mixed Masala Whole 300g","300","Spice Blends and Mixes","spice-blends-mixes","mosola","no","in_shopify_only"
"mustard-seeds","Mustard Seeds 400g","400","Spices","spices-herbs","2021BEST;Rai;Sarson","no","in_shopify_only"
"mustard-seeds-black-jar","Mustard Seeds Black Jar 100g","100","Spice & Herb Jars","spice-herb-jars","Dal Recipe;Rai;Sarson","no","in_shopify_only"
"nigella-seeds","Kalwanji (Nigella) Seeds 300g","300","Spices","spices-herbs","black caraway;kalojeera;kalonji;nigella","no","in_shopify_only"
"nigella-seeds-jar","Kalwanji (Nigella) Seeds Jar 100g","100","Spice & Herb Jars","spice-herb-jars","black caraway;kalojeera;kalonji;nigella","no","in_shopify_only"
