product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw
4567660560456,natco-sesame-seeds-hulled-15kg,4567660560456,1.5kg,1.5,kg,/uploads/natco_sesame-seeds-hulled-15kg.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,R7250
4567660593224,natco-sesame-seeds-natural-400g,4567660593224,400g,400,g,/uploads/natco_sesame-seeds-natural-400g.png,A,,sesame,See product packaging for full ingredients list,,India,Default,R7160
4567660658760,natco-sagoo-seeds-medium-15kg,4567660658760,1.5kg,1.5,kg,/uploads/natco_sagoo-seeds-medium-15kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R7091
4567660724296,natco-sunflower-seeds-1kg,GEN_4567660724296_1kg,1kg,1,kg,/uploads/natco_sunflower-seeds-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R7000
4567660724296,natco-sunflower-seeds-300g,GEN_4567660724296_300g,300g,300,g,/uploads/natco_sunflower-seeds-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R7005
4567660757064,natco-powa-medium-flaked-rice-1kg,4567660757064,1kg,1,kg,/uploads/natco_powa-medium-flaked-rice-1kg.png,A,,,See product packaging for full ingredients list,,India,Default,R6750
4567660855368,natco-white-poppy-seeds-300g,GEN_4567660855368_300g,300g,300,g,/uploads/natco_white-poppy-seeds-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R6550
4567660855368,natco-white-poppy-seeds-100g,GEN_4567660855368_100g,100g,100,g,/uploads/natco_white-poppy-seeds-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6562
4567660920904,natco-linseed-brown-1kg,GEN_4567660920904_1kg,1kg,1,kg,/uploads/natco_linseed-brown-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6410
4567660920904,natco-linseed-brown-400g,GEN_4567660920904_400g,400g,400,g,/uploads/natco_linseed-brown-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6420
4567660953672,natco-pumpkin-seeds-250g,4567660953672,250g,250,g,/uploads/natco_pumpkin-seeds-250g.png,A,,,See product packaging for full ingredients list,,India,Default,R6250
4567661051976,natco-popcorn-2kg,GEN_4567661051976_2kg,2kg,2,kg,/uploads/natco_popcorn-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6150
