product_handle,variant_sku,variant_barcode,variant_title,weight_value,weight_unit,thumbnail_url,velocity,tags,allergens,ingredients,storage,country_of_origin,variant_title_raw,variant_sku_raw,sourcing_depot
4567655874632,natco-orange-food-colouring-liquid-28ml,4567655874632,28ml,28,ml,/uploads/natco_orange-food-colouring-liquid-28ml.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1152,depot_b
4567655972936,natco-green-food-colouring-powder-25g,4567655972936,25g,25,g,/uploads/natco_green-food-colouring-powder-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1136,depot_b
4567656005704,natco-red-food-colouring-powder-25g,4567656005704,25g,25,g,/uploads/natco_red-food-colouring-powder-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1132,depot_b
4567656071240,natco-orange-food-colouring-powder-25g,4567656071240,25g,25,g,/uploads/natco_orange-food-colouring-powder-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1128,depot_b
4567656104008,natco-yellow-food-colouring-powder-25g,4567656104008,25g,25,g,/uploads/natco_yellow-food-colouring-powder-25g.jpg,A,,,See product packaging for full ingredients list,,India,Default,V1124,depot_b
4567656169544,natco-tandoori-masala-jar-100g,4567656169544,100g,100,g,/uploads/natco_tandoori-masala-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T9307,depot_b
4567656759368,natco-garam-masala-jar-80g,4567656759368,80g,80,g,/uploads/natco_garam-masala-jar-80g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T6154,depot_b
4567656988744,natco-coriander-ground-jar-70g,4567656988744,70g,70,g,/uploads/natco_coriander-ground-jar-70g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T4354,depot_b
4567657054280,natco-cloves-jar-50g,4567657054280,50g,50,g,/uploads/natco_cloves-jar-50g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T3907,depot_b
4567657087048,natco-cinnamon-ground-jar-100g,4567657087048,100g,100,g,/uploads/natco_cinnamon-ground-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T3807,depot_b
4567657119816,natco-cassia-dalchini-jar-50g,4567657119816,50g,50,g,/uploads/natco_cassia-dalchini-jar-50g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T3507,depot_b
4567657185352,natco-chilli-powder-hot-jar-100g,4567657185352,100g,100,g,/uploads/natco_chilli-powder-hot-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T3352,depot_b
4567657250888,natco-chilli-crushed-jar-80g,4567657250888,80g,80,g,/uploads/natco_chilli-crushed-jar-80g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T3252,depot_b
4567657316424,natco-cardamom-green-jar-50g,4567657316424,50g,50,g,/uploads/natco_cardamom-green-jar-50g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T2252,depot_b
4567657381960,natco-bay-leaves-jar-10g,4567657381960,10g,10,g,/uploads/natco_bay-leaves-jar-10g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T1952,depot_b
4567657447496,natco-asafoetida-hing-jar-100g,4567657447496,100g,100,g,/uploads/natco_asafoetida-hing-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T1752,depot_b
4567657513032,natco-aniseed-star-jar-40g,4567657513032,40g,40,g,/uploads/natco_aniseed-star-jar-40g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T1554,depot_b
4567657545800,natco-amchoor-powder-jar-100g,4567657545800,100g,100,g,/uploads/natco_amchoor-powder-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T1307,depot_b
4567657578568,natco-ajwan-seeds-jar-100g,4567657578568,100g,100,g,/uploads/natco_ajwan-seeds-jar-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,T1107,depot_b
4567657644104,natco-tandoori-masala-400g,4567657644104,400g,400,g,/uploads/natco_tandoori-masala-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,S9660,depot_b
4567658135624,natco-mixed-masala-whole-300g,4567658135624,300g,300,g,/uploads/natco_mixed-masala-whole-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,S8360,depot_b
4567658168392,natco-kasuri-methi-leaves-100g,4567658168392,100g,100,g,/uploads/natco_kasuri-methi-leaves-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,S8274,depot_b
4567658627144,natco-garam-masala-400g,4567658627144,400g,400,g,/uploads/natco_garam-masala-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,S7260,depot_b
4567659905096,natco-vermice-taposdini-fedelini-500g,4567659905096,500g,500,g,/uploads/natco_vermice-taposdini-fedelini-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R9380,depot_b
4567660134472,natco-black-chia-seeds-250g,4567660134472,250g,250,g,/uploads/natco_black-chia-seeds-250g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R8480,depot_b
4567660167240,natco-peanut-gachak-peanut-brittle-400g,4567660167240,400g,400,g,/uploads/natco_peanut-gachak-peanut-brittle-400g.jpg,A,,tree-nuts;peanuts,See product packaging for full ingredients list,,India,Default,R8416,depot_b
4567660298312,natco-sugar-candy-375g,4567660298312,375g,375,g,/uploads/natco_sugar-candy-375g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R7560,depot_b
4567660396616,natco-soya-mince-300g,4567660396616,300g,300,g,/uploads/natco_soya-mince-300g.jpg,A,,soya,See product packaging for full ingredients list,,India,Default,R7450,depot_b
4567660527688,natco-soya-chunks-700g,GEN_4567660527688_700g,700g,700,g,/uploads/natco_soya-chunks-700g.jpg,A,,soya,See product packaging for full ingredients list,,India,Default,R7360,depot_b
4567660527688,natco-soya-chunks-350g,GEN_4567660527688_350g,350g,350,g,/uploads/natco_soya-chunks-350g.jpg,A,,soya,See product packaging for full ingredients list,,India,Default,R7380,depot_b
4567660560456,natco-sesame-seeds-hulled-15kg,4567660560456,1.5kg,1.5,kg,/uploads/natco_sesame-seeds-hulled-15kg.jpg,A,,sesame,See product packaging for full ingredients list,,India,Default,R7250,depot_b
4567660593224,natco-sesame-seeds-natural-400g,4567660593224,400g,400,g,/uploads/natco_sesame-seeds-natural-400g.png,A,,sesame,See product packaging for full ingredients list,,India,Default,R7160,depot_b
4567660658760,natco-sagoo-seeds-medium-15kg,4567660658760,1.5kg,1.5,kg,/uploads/natco_sagoo-seeds-medium-15kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R7091,depot_b
4567660724296,natco-sunflower-seeds-1kg,GEN_4567660724296_1kg,1kg,1,kg,/uploads/natco_sunflower-seeds-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R7000,depot_b
4567660724296,natco-sunflower-seeds-300g,GEN_4567660724296_300g,300g,300,g,/uploads/natco_sunflower-seeds-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R7005,depot_b
4567660757064,natco-powa-medium-flaked-rice-1kg,4567660757064,1kg,1,kg,/uploads/natco_powa-medium-flaked-rice-1kg.png,A,,,See product packaging for full ingredients list,,India,Default,R6750,depot_b
4567660855368,natco-white-poppy-seeds-300g,GEN_4567660855368_300g,300g,300,g,/uploads/natco_white-poppy-seeds-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R6550,depot_b
4567660855368,natco-white-poppy-seeds-100g,GEN_4567660855368_100g,100g,100,g,/uploads/natco_white-poppy-seeds-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6562,depot_b
4567660920904,natco-linseed-brown-1kg,GEN_4567660920904_1kg,1kg,1,kg,/uploads/natco_linseed-brown-1kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6410,depot_b
4567660920904,natco-linseed-brown-400g,GEN_4567660920904_400g,400g,400,g,/uploads/natco_linseed-brown-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6420,depot_b
4567660953672,natco-pumpkin-seeds-250g,4567660953672,250g,250,g,/uploads/natco_pumpkin-seeds-250g.png,A,,,See product packaging for full ingredients list,,India,Default,R6250,depot_b
4567661051976,natco-popcorn-2kg,GEN_4567661051976_2kg,2kg,2,kg,/uploads/natco_popcorn-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6150,depot_b
4567661051976,natco-popcorn-500g,GEN_4567661051976_500g,500g,500,g,/uploads/natco_popcorn-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6160,depot_b
4567661084744,natco-crispy-fried-onions-150g,GEN_4567661084744_150g,150g,150,g,/uploads/natco_crispy-fried-onions-150g.png,A,,,See product packaging for full ingredients list,,India,Default,R6035,depot_b
4567661084744,natco-crispy-fried-onions-400g,GEN_4567661084744_400g,400g,400,g,/uploads/natco_crispy-fried-onions-400g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R6020,depot_b
4567661183048,natco-jaggery-500g,4567661183048,500g,500,g,/uploads/natco_jaggery-500g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R5360,depot_b
4567661248584,natco-daria-dal-300g,4567661248584,300g,300,g,/uploads/natco_daria-dal-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4300,depot_b
4567661281352,natco-phool-makhana-popped-lotus-seeds-100g,4567661281352,100g,100,g,/uploads/natco_phool-makhana-popped-lotus-seeds-100g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4282,depot_b
4567661314120,natco-daria-gotta-large-700g,4567661314120,700g,700,g,/uploads/natco_daria-gotta-large-700g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4220,depot_b
4567661379656,natco-daria-gotta-small-300g,4567661379656,300g,300,g,/uploads/natco_daria-gotta-small-300g.png,A,,,See product packaging for full ingredients list,,India,Default,R4200,depot_b
4567661412424,natco-gram-roasted-salted-300g,4567661412424,300g,300,g,/uploads/natco_gram-roasted-salted-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4160,depot_b
4567661445192,natco-gram-roasted-unsalted-300g,4567661445192,300g,300,g,/uploads/natco_gram-roasted-unsalted-300g.jpg,A,,,See product packaging for full ingredients list,,India,Default,R4150,depot_b
4567661477960,natco-idli-rice-5kg,4567661477960,5kg,5,kg,/uploads/natco_idli-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1918,depot_b
4567661543496,natco-ponni-rice-5kg,4567661543496,5kg,5,kg,/uploads/natco_ponni-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1818,depot_b
4567661674568,natco-sona-masuri-rice-5kg,4567661674568,5kg,5,kg,/uploads/natco_sona-masuri-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1514,depot_b
4567661772872,natco-easycook-parboiled-rice-5kg,4567661772872,5kg,5,kg,/uploads/natco_easycook-parboiled-rice-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1455,depot_b
4567661838408,natco-long-grain-white-rice-5kg,4567661838408,5kg,5,kg,/uploads/natco_long-grain-white-rice-5kg.jpg,A,,mustard,See product packaging for full ingredients list,,India,Default,R1404,depot_b
4567661871176,natco-basmati-rice-kernel-5kg,4567661871176,5kg,5,kg,/uploads/natco_basmati-rice-kernel-5kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1290,depot_b
4567662002248,natco-basmati-rice-india-2kg,4567662002248,2kg,2,kg,/uploads/natco_basmati-rice-india-2kg.jpg,A,,,See product packaging for full ingredients list,,India,Default,R1140,depot_b
