"handle","product_title","thumbnail_url","issue"
"haldirams-gulab-jamun-tin","Haldiram's Gulab Jamun Tin","/uploads/haldirams-gulab-jamun-tin.jpg","FILE_MISSING"
"haldirams-moong-dal","Haldiram's Moong Dal","/uploads/haldirams-moong-dal.jpg","FILE_MISSING"
"haldirams-rasgulla-tin","Haldiram's Rasgulla Tin","/uploads/haldirams-rasgulla-tin.jpg","FILE_MISSING"
"haldirams-soan-papdi","Haldiram's Soan Papdi","/uploads/haldirams-soan-papdi.jpg","FILE_MISSING"
"haldirams-mathri","Haldiram's - Mathri","/uploads/haldirams_mathri.jpg","FILE_MISSING"
"rooh-afza","Hamdard - Rooh Afza","/uploads/hamdard_rooh-afza.jpg","FILE_MISSING"
"horlicks-original","Horlicks - Original","/uploads/horlicks_original.jpg","FILE_MISSING"
"idhayam-sesame-oil","Idhayam - Sesame / Gingelly Oil","/uploads/idhayam_sesame-oil.jpg","FILE_MISSING"
"karachi-bakery-fruit-biscuits","Karachi Bakery - Fruit Biscuits","/uploads/karachi_fruit-biscuits.jpg","FILE_MISSING"
"karachi-bakery-osmania-biscuits","Karachi Bakery - Osmania Biscuits","/uploads/karachi_osmania-biscuits.jpg","FILE_MISSING"
"kohinoor-extra-long-basmati","Kohinoor Extra Long Basmati","/uploads/kohinoor-extra-long-basmati.jpg","FILE_MISSING"
"lal-qilla-premium-basmati","Lal Qilla Premium Basmati","/uploads/lal-qilla-premium-basmati.jpg","FILE_MISSING"
"laziza-gajar-halwa-mix","Laziza - Gajar Ka Halwa Mix","/uploads/laziza_gajar-halwa.jpg","FILE_MISSING"
"laziza-gulab-jamun-mix","Laziza - Gulab Jamun Mix","/uploads/laziza_gulab-jamun.jpg","FILE_MISSING"
"laziza-kheer-mix","Laziza - Kheer Mix","/uploads/laziza_kheer-mix.jpg","FILE_MISSING"
"laziza-kulfi-mix","Laziza - Kulfi Mix","/uploads/laziza_kulfi.jpg","FILE_MISSING"
"laziza-rasmalai-mix","Laziza - Rasmalai Mix","/uploads/laziza_rasmalai.jpg","FILE_MISSING"
"laziza-zarda-mix","Laziza - Zarda Sweet Rice Mix","/uploads/laziza_zarda.jpg","FILE_MISSING"
"leo-coffee-pure","Leo Coffee - Pure","/uploads/leo-coffee_pure.jpg","FILE_MISSING"
"lg-asafoetida-hing","LG - Asafoetida Hing","/uploads/lg_hing.jpg","FILE_MISSING"
"lijjat-moong-dal-papad","Lijjat Moong Dal Papad","/uploads/lijjat-moong-dal-papad.jpg","FILE_MISSING"
"lijjat-urad-papad-extra-thin","Lijjat Urad Papad Extra Thin","/uploads/lijjat-urad-papad-extra-thin.jpg","FILE_MISSING"
"lijjat-urad-special-papad","Lijjat Urad Special Papad","/uploads/lijjat-urad-special-papad.jpg","FILE_MISSING"
"maggi-2-minute-noodles-masala-4-pack","Maggi 2-Minute Noodles Masala","/uploads/maggi-2-minute-noodles-masala.jpg","FILE_MISSING"
"maggi-2-minute-noodles-masala-8-pack","Maggi 2-Minute Noodles Masala 8-Pack","/uploads/maggi-2-minute-noodles-masala.jpg","FILE_MISSING"
"maggi-hot-sweet-sauce","Maggi Hot & Sweet Sauce","/uploads/maggi-hot-and-sweet-sauce.jpg","FILE_MISSING"
"maggi-noodles-masala-4pack","Maggi - 2-Minute Noodles Masala 4-Pack","/uploads/maggi_masala-noodles.jpg","FILE_MISSING"
"maggi-noodles-masala-8pack","Maggi - 2-Minute Noodles Masala 8-Pack","/uploads/maggi_masala-noodles.jpg","FILE_MISSING"
"mdh-sambar-masala","MDH - Sambar Masala","/uploads/mdh_sambar-masala.jpg","FILE_MISSING"
"mtr-dosa-mix","MTR - Plain Dosa Mix","/uploads/mtr_dosa-mix.jpg","FILE_MISSING"
"mtr-gulab-jamun-tin","MTR - Gulab Jamun Tin","/uploads/mtr_gulab-jamun.jpg","FILE_MISSING"
"mtr-idli-mix","MTR - Idli Mix","/uploads/mtr_idli-mix.jpg","FILE_MISSING"
"mtr-khaman-dhokla-mix","MTR - Khaman Dhokla Mix","/uploads/mtr_dhokla-mix.jpg","FILE_MISSING"
"mtr-rasmalai-tin","MTR - Rasmalai Tin","/uploads/mtr_rasmalai.jpg","FILE_MISSING"
"mtr-rava-dosa-mix","MTR - Rava Dosa Mix","/uploads/mtr_rava-dosa.jpg","FILE_MISSING"
"mtr-rava-idli-mix","MTR - Rava Idli Mix","/uploads/mtr_rava-idli.jpg","FILE_MISSING"
"mtr-roasted-vermicelli","MTR - Roasted Vermicelli","/uploads/mtr_roasted-vermicelli.jpg","FILE_MISSING"
"mtr-upma-mix","MTR - Upma Mix","/uploads/mtr_upma-mix.jpg","FILE_MISSING"
"mtr-vada-mix","MTR - Vada Mix","/uploads/mtr_vada-mix.jpg","FILE_MISSING"
"national-mango-pickle","National Foods - Mango Pickle","/uploads/national_mango-pickle.jpg","FILE_MISSING"
"national-mixed-pickle","National Foods - Mixed Pickle","/uploads/national_mixed-pickle.jpg","FILE_MISSING"
"nescafe-classic","Nescafe - Classic","/uploads/nescafe_classic.jpg","FILE_MISSING"
"parachute-coconut-oil","Parachute - Coconut Oil","/uploads/parachute_coconut-oil.jpg","FILE_MISSING"
"parle-bourbon","Parle Bourbon","/uploads/parle-bourbon.jpg","FILE_MISSING"
"parle-g-glucose-biscuits","Parle-G Glucose Biscuits","/uploads/parle-g-glucose-biscuits.jpg","FILE_MISSING"
"parle-mango-bite-40-piece-bag","Parle Mango Bite","/uploads/parle-mango-bite.jpg","FILE_MISSING"
"parle-melody-40-piece-bag","Parle Melody","","NO_THUMBNAIL"
